id,city_name,latitude,longitude,day,temp,wind_speed,humidity,weather
db3f7e4d-1513-4473-b545-6662ea43c187,Lille,50.6365654,3.0635282,2025-09-11,15.75125,6.18,69.875,light rain
db3f7e4d-1513-4473-b545-6662ea43c187,Lille,50.6365654,3.0635282,2025-09-12,14.695,5.1,71.0,light rain
db3f7e4d-1513-4473-b545-6662ea43c187,Lille,50.6365654,3.0635282,2025-09-13,15.469999999999999,5.66625,67.625,light rain
db3f7e4d-1513-4473-b545-6662ea43c187,Lille,50.6365654,3.0635282,2025-09-14,15.525,6.91875,73.75,light rain
db3f7e4d-1513-4473-b545-6662ea43c187,Lille,50.6365654,3.0635282,2025-09-15,14.98,8.208,72.0,light rain
3e5a4baf-004d-4634-8445-b8bd565980ed,Strasbourg,48.584614,7.7507127,2025-09-10,17.930000000000003,1.71,77.66666666666667,light rain
3e5a4baf-004d-4634-8445-b8bd565980ed,Strasbourg,48.584614,7.7507127,2025-09-11,16.63125,4.1899999999999995,72.125,broken clouds
3e5a4baf-004d-4634-8445-b8bd565980ed,Strasbourg,48.584614,7.7507127,2025-09-12,15.8375,3.28875,67.125,broken clouds
3e5a4baf-004d-4634-8445-b8bd565980ed,Strasbourg,48.584614,7.7507127,2025-09-13,14.62375,3.37,77.125,light rain
3e5a4baf-004d-4634-8445-b8bd565980ed,Strasbourg,48.584614,7.7507127,2025-09-14,15.35375,3.3075,76.75,broken clouds
3e5a4baf-004d-4634-8445-b8bd565980ed,Strasbourg,48.584614,7.7507127,2025-09-15,16.056,4.9719999999999995,69.4,broken clouds
00e2db70-35f8-4080-a141-f88055759ae5,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-09-10,16.07,1.4100000000000001,77.33333333333333,light rain
00e2db70-35f8-4080-a141-f88055759ae5,Chateau du Haut Koenigsbourg,48.2494107,7.3443202,2025-09-11,13.5475,3.03625,76.625,light rain
