city_name,hotel,address,rating,reviews,url,description,latitude_x,longitude_x,id,latitude_y,longitude_y,day,temp,wind_speed,humidity,weather
Avignon,Garlande Hôtel Avignon Centre,"20 Rue Galante, 84000 Avignon, France",8.9,700,https://www.booking.com/hotel/fr/de-garlande.fr.html,"Doté d’une connexion Wi-Fi gratuite, le Garlande Hôtel Avignon Centre propose des hébergements installés sur une rue piétonne d’Avignon, à 500 mètres du...",43.9476183,4.8068035,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-14,19.83,5.13625,55.5,clear sky
Avignon,Garlande Hôtel Avignon Centre,"20 Rue Galante, 84000 Avignon, France",8.9,700,https://www.booking.com/hotel/fr/de-garlande.fr.html,"Doté d’une connexion Wi-Fi gratuite, le Garlande Hôtel Avignon Centre propose des hébergements installés sur une rue piétonne d’Avignon, à 500 mètres du...",43.9476183,4.8068035,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-15,19.576,1.632,50.6,scattered clouds
Avignon,Hôtel de l'Horloge,"1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",8.4,1345,https://www.booking.com/hotel/fr/de-l-horloge.fr.html,"L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon.",43.9489672,4.8054725,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-10,23.96666666666667,4.546666666666667,46.333333333333336,scattered clouds
Avignon,Hôtel de l'Horloge,"1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",8.4,1345,https://www.booking.com/hotel/fr/de-l-horloge.fr.html,"L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon.",43.9489672,4.8054725,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-11,20.99375,4.48125,51.25,clear sky
Avignon,Hôtel de l'Horloge,"1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",8.4,1345,https://www.booking.com/hotel/fr/de-l-horloge.fr.html,"L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon.",43.9489672,4.8054725,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-12,20.405,2.52625,54.375,clear sky
Avignon,Hôtel de l'Horloge,"1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",8.4,1345,https://www.booking.com/hotel/fr/de-l-horloge.fr.html,"L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon.",43.9489672,4.8054725,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-13,18.215,2.01875,71.375,broken clouds
Avignon,Hôtel de l'Horloge,"1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",8.4,1345,https://www.booking.com/hotel/fr/de-l-horloge.fr.html,"L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon.",43.9489672,4.8054725,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-14,19.83,5.13625,55.5,clear sky
Avignon,Hôtel de l'Horloge,"1 Rue Félicien David - Place de l'Horloge, 84000 Avignon, France",8.4,1345,https://www.booking.com/hotel/fr/de-l-horloge.fr.html,"L'Hôtel de l'Horloge occupe un bâtiment du XIXème siècle donnant sur la pittoresque place de l'horloge, dans le centre d'Avignon.",43.9489672,4.8054725,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-15,19.576,1.632,50.6,scattered clouds
Avignon,Novotel Avignon Centre,"20 boulevard Saint Roch, 84000 Avignon, France",7.9,885,https://www.booking.com/hotel/fr/novotel-avignon-centre.fr.html,"Installé à côté de la gare ferroviaire d’Avignon, le Novotel Avignon Centrevous propose une piscine extérieure et un salon de beauté.",43.9427354,4.8024362,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-10,23.96666666666667,4.546666666666667,46.333333333333336,scattered clouds
Avignon,Novotel Avignon Centre,"20 boulevard Saint Roch, 84000 Avignon, France",7.9,885,https://www.booking.com/hotel/fr/novotel-avignon-centre.fr.html,"Installé à côté de la gare ferroviaire d’Avignon, le Novotel Avignon Centrevous propose une piscine extérieure et un salon de beauté.",43.9427354,4.8024362,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-12,20.405,2.52625,54.375,clear sky
Avignon,Novotel Avignon Centre,"20 boulevard Saint Roch, 84000 Avignon, France",7.9,885,https://www.booking.com/hotel/fr/novotel-avignon-centre.fr.html,"Installé à côté de la gare ferroviaire d’Avignon, le Novotel Avignon Centrevous propose une piscine extérieure et un salon de beauté.",43.9427354,4.8024362,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-13,18.215,2.01875,71.375,broken clouds
Avignon,Novotel Avignon Centre,"20 boulevard Saint Roch, 84000 Avignon, France",7.9,885,https://www.booking.com/hotel/fr/novotel-avignon-centre.fr.html,"Installé à côté de la gare ferroviaire d’Avignon, le Novotel Avignon Centrevous propose une piscine extérieure et un salon de beauté.",43.9427354,4.8024362,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-14,19.83,5.13625,55.5,clear sky
Avignon,Novotel Avignon Centre,"20 boulevard Saint Roch, 84000 Avignon, France",7.9,885,https://www.booking.com/hotel/fr/novotel-avignon-centre.fr.html,"Installé à côté de la gare ferroviaire d’Avignon, le Novotel Avignon Centrevous propose une piscine extérieure et un salon de beauté.",43.9427354,4.8024362,c0ea9024-87a5-43ad-b895-2b6444607794,43.9492493,4.8059012,2025-09-15,19.576,1.632,50.6,scattered clouds
